model,space,acc,pred_time,Δacc_vs_orig,speedup_vs_orig
KNN,original,0.956140350877193,0.002902911000006725,0.0,1.0
KNN,PCA,0.956140350877193,0.016298147999989965,0.0,0.1781129365133089
KNN,RFE,0.9210526315789473,0.021743778000001157,-0.03508771929824561,0.13350536415551015
RF,original,0.9736842105263158,0.07747500899999693,0.0,1.0
RF,PCA,0.9473684210526315,0.0883507659999907,-0.026315789473684292,0.876902516046155
RF,RFE,0.9473684210526315,0.07550215299998797,-0.026315789473684292,1.0261297979146273
