space,inertia,silhouette,n_iter,fit_time,pred_time,Δinertia_vs_orig,Δsilhouette_vs_orig,speedup_fit_vs_orig,speedup_pred_vs_orig
original,140.96581663074699,0.4589717867018717,4,0.019286896000267006,0.0003970969992224127,0.0,0.0,1.0,1.0
PCA,116.10924021401541,0.5081546339516391,4,0.0119603349994577,0.00024229900009231642,-24.85657641673157,0.04918284724976735,1.6125715543203016,1.6388718033137484
RFE,80.33715740549414,0.4604251536689852,4,0.010625841998262331,0.00023879900254542008,-60.62865922525285,0.0014533669671134564,1.8150934300943904,1.6628922021853254
