model,space,acc,pred_time
KNN,original,0.956140350877193,0.002902911000006725
KNN,PCA,0.956140350877193,0.016298147999989965
KNN,RFE,0.9210526315789473,0.021743778000001157
RF,original,0.9736842105263158,0.07747500899999693
RF,PCA,0.9473684210526315,0.0883507659999907
RF,RFE,0.9473684210526315,0.07550215299998797
