feature,selected_by_kbest,selected_by_rfe,kbest_score
LSTAT,True,True,552.301696655693
RM,True,True,471.84673987638683
PTRATIO,True,True,175.10554287569468
INDUS,True,False,147.96438910781015
TAX,True,True,141.76135657742293
NOX,True,True,112.59148027969951
CRIM,True,True,87.11601249756536
RAD,True,True,85.91427766984044
AGE,False,False,83.79670386527063
ZN,False,False,76.14778147770923
B,False,False,63.05422911249273
DIS,False,True,33.57957032590528
CHAS,False,False,17.630472489532476
