space,rmse,r2,mean_abs_coef,max_abs_coef,n_features
original,4.999938478631849,0.659101389390351,1.6148129849105883,3.311066948791888,13
pca,5.3997496033870505,0.602402950962796,1.2573478755544458,3.3191346881469013,10
selected,4.948428542290955,0.6660891613265578,2.2933199192842233,3.536817069761983,8
